"BusinessUnitId","Name","Status"
300000253228249,"RAK-BU","A"
300000127715323,"UNCDF-HQ","A"
300000229641278,"UNDP-AFG","A"
300000229641291,"UNDP-ARE","A"
300000229641304,"UNDP-ARG","A"
300000127715258,"UNDP-BGD","A"
300000229667622,"UNDP-BRA","A"
300000229641317,"UNDP-BRB","A"
300000229641330,"UNDP-EGY","A"
300000127715271,"UNDP-ETH","A"
300000239798330,"UNDP-H70","A"
300000239798343,"UNDP-H71","A"
300000229667665,"UNDP-HND","A"
300000127715310,"UNDP-HQ","A"
300000229667373,"UNDP-IND","A"
300000127715284,"UNDP-IRQ","A"
300000229667386,"UNDP-JOR","A"
300000229667429,"UNDP-MAR","A"
300000127715245,"UNDP-MDA","A"
300000127715297,"UNDP-PSU","A"
300000127715392,"UNDP-RHPA","A"
300000229667678,"UNDP-VEN","A"
300000229667691,"UNDP-YEM","A"
300000127715353,"UNITAR-HQ","A"
300000127714247,"UNSSC-HQ","A"
300000127715379,"UNV-HQ","A"
300000232079097,"UNW-AFG","A"
300000250203907,"UNW-AP01","A"
300000250203855,"UNW-AS01","A"
300000232079110,"UNW-BIH","A"
300000232079028,"UNW-CHL","A"
300000232079071,"UNW-CMR","A"
300000250203946,"UNW-EC01","A"
300000250203841,"UNW-ECU","A"
300000250203868,"UNW-EGY","A"
300000250203959,"UNW-FJI","A"
300000250203813,"UNW-G0023","A"
300000232078997,"UNW-G0024","A"
300000250203827,"UNW-G0040","A"
300000232079015,"UNW-IND","A"
300000250203881,"UNW-IRQ","A"
300000232079058,"UNW-JOR","A"
300000250203894,"UNW-LBN","A"
300000232079045,"UNW-MEX","A"
300000250203933,"UNW-NGA","A"
300000232079084,"UNW-TTO","A"
300000250203920,"UNW-WC01","A"
300000219409387,"UNWOMEN-DMA","I"
300000127715336,"UNWOMEN-HQ","A"